address,amount
0x9dbeeda68b1246eb70fdd9ceaf1b3b2d508e6391,70837233256725166
0x8c988d5344337bf304bfe89724cd70c0e0f08271,35418598925206149
0xaa0b1d07370d3b5464df6100b663c12a8f677712,35418598925206149
0x3c6e78a279ca78088a939d80968feffcd517190a,40976717335995413
0xdd6889900fcec94b0d658de4350d4e2488beb98a,35418598925206149
0x914b98426333fe919c86672ec7189feb23339858,35418598925206149
0x83bbe9cfcc205bb8e53cba0b51d6db9386ce58b5,35418598925206149
0xa300b9cf9199d7a087d426c4cb96c5c3692f219f,35418598925206149
0x6544df975cf58a0b2c9a361a8db2e00d338e10c1,354186095471000097
0xb6bd1b9b3e6e3512bb354789289f6d8fbc0f65bc,35418598925206149
0x9c33357c831628b5de9e745bca84d29a76e415c7,70837197850412299
0x8f70f795ca5ca5cf8ffc2e9d1b8b621c2420df8d,35418598925206149
0x6b5add7111100efa6aeee0e1ba676b6218ecabda,35418598925206149
0x696d181a7961ee66c42f1ebeddc0b48b106c45ad,177093065438656482
0x38552e767c9770505a2638f4a525071305b93bbe,35418598925206149
0x11590b8b4f62e52f5081f5c9c416cd3b01866988,35418598925206149
0x4b9afc0905d4bf4b9f9ca60da23a750c572f443f,35418598925206149
0xde88d146f61463d582262a1dcdf6ea1323aba34a,70837233256725166
0x5fd467a7f0dafb897de45ce1f99a7f067af7a333,35418598925206149
0x8908c7ed19595bf94b0622efb4e098648f16a26c,35772803679804060
0xee6b71b0b9e8a2e7a30f3f966a41c8b414d5e2cc,389604729802519113
0x5bbefaccc1a8e1ecb0d470f941668562eeb46ff0,389604729802519113
0x3645af64f7ddd6c1e0391c83d58e6ad610bf215a,37189551885569850
0x942fec89e62c34ecfb26694654bec567fbdf68b5,53127916090965717
0x29ce0df06da9d430538606251c377476c6423cd1,42502339954035099
0xd2e1b76f81b71304daceec93f7d55d0a2abe2307,177093065438656482
0x080a75c96bf646cd9f78aaf8c9869a510e9c68bb,177093065438656482
0x9c72c98535224c3c045a3d27ff981ed5a1d64d6e,177093065438656482
0x99d6d24012361620bfa1a3f16d4e745066fc7c69,44820214230299930
0x695ed4801272fa829c5c5d9d2f52176c67d58010,68054297060064177
0x3bd22a0649802540ff4067dff29b9dd00c5fe25c,35418598925206149
0x77e3da11f559dbb2388bf889472412c04df317ed,35418598925206149
0xcf8e24538e6e8c6d7ca711f84539aeac0892e28b,177093065438656482
0x27c181ab22f759b7d17d7b5cc216bce728b4e5c3,41627626992985414
0xf935861a8b8cc6867eeb463d97b501c69d177092,45541582450029766
0x745d9f9c9f01c7d8afb63e81d16c60f2fb74a1e0,35418598925206149
0x42acf5773af88b0e49f413e10edf9bcef93c3805,44183396285857824
0xa1cad48e9844d850f066376e1f1e04147b16619e,88546515016171747
0xc5ba2b86292a73830cfe7619f24f4fcab66e398b,40788745220625513
0xcd5c1bb777c937d993bc5e16e48b1669becc77aa,106255832181931315
0xce9cc2efb00a730009346b173045dba73fd3327c,40785664871400148
0xb8a9c37240e8b72f42a88f1099e6c61dc3e96756,106255832181931315
0xf7eb38d17e6d6b2c12a9af9f32f6cfcaec6969f3,38960469439620564
0x48f73a47f17a374ba42253c665bd8389f2efdd31,42467535548420357
0xd59c20efa3fcc5871d6789f725244465bcd6aa0e,40995624307102481
0x15446371fe06e86fcd27b1f567491a3eee9c238e,41783662614088260
0xdf23d6fd44249716a515bdddc81b82c18b915345,41806145622801780
0xe6318ac14dc1235e01af21d354088118e15783ba,41149712580993961
0x78e95eabc4f0115e87825e20ef040ad89d973f0d,41188694931534963
0x97e5a15342e3c08dd8882dc8033be2d0271569c0,41089946724760260
0x3cbf5a2ad28271f6ec30e0d891905e663b78b865,41720072876057682
0x91d87e8ba48a0e40f7913305792541191f92404e,41035952097535040
0x6dae9dc6ee8a4e28dabb1acb019ae9bd4c7dd928,41034500438704644
0xb08e71a3c5472d30a571dc0f04691d13611f7ae0,41106941754968949
0xc68eefd332888b41eb9afbd32a95c1d04d1cc9d8,70837233256725166
0x09a649f2954f99d5622df9e4c53865608ff2ead0,35418598925206149
0xdbddf4b289ca27a4f35497095ef7f1176dc96db3,70837233256725166
0xf41ed4f4a2da834e1a2655d127aa5c6f4d8102f9,70837233256725166
0x6d11ad78ca29e5d6115877a3d55ae969641707d3,38338557552924077
0x12d6ef206a5ba9f42d7dc58bd38d4df7bb70934b,35772803679804060
0xecd793a0a99b60896226437105ef8f7d46a090fb,70837233256725166
0xa0313907508e59550b0d7a48d9a2e36cec22da39,38960469439620564
0xb864b1cc4541ec0cb5bf7882592cb1d2dea909c2,38960469439620564
0xf701c25aa132c72c880f33e20873625cdf33b365,38960469439620564
0xe866c7bbe04077837d0b630ea6ccd1afb1203680,42502339954035099
0xf3a2721ebfd19850d0facd5680419c02903394ca,53127916090965717
0x85687cc0a149e77227fcba1269a1dd4055f38010,35418598925206149
0xbbe56ed3083f6d005441e0e4de10847897088d8c,36206920482695339
0x6075771739d164ddf97787cc9216fa7c96ae63ad,35418598925206149
0x9d55e3babeebf4e24eb857082586ac7d21da0e4a,73054376572690942
